Code région,Nom de la région,Nombre d'arrondissements,Nombre de cantons,Nombre de communes,Population municipale,Population totale
84,Auvergne-Rhône-Alpes,39,241,4030,7948287,8120668
27,Bourgogne-Franche-Comté,24,152,3704,2811423,2885864
53,Bretagne,15,102,1208,3318904,3407564
24,Centre-Val de Loire,20,102,1758,2576252,2634852
94,Corse,5,26,360,334938,340233
44,Grand Est,38,200,5121,5549586,5657093
01,Guadeloupe,2,21,32,390253,396153
03,Guyane,2,,22,268700,271124
32,Hauts-de-France,26,145,3789,6003815,6096177
11,Île-de-France,25,155,1268,12174880,12291279
04,La Réunion,4,25,24,853659,863063
02,Martinique,4,,34,372594,377711
28,Normandie,17,131,2651,3330478,3403309
75,Nouvelle-Aquitaine,41,258,4314,5956978,6094367
76,Occitanie,36,249,4454,5845102,5968795
52,Pays de la Loire,16,107,1238,3757600,3846161
93,Provence-Alpes-Côte d'Azur,18,126,946,5030890,5106679
